command,value
integer a equal ten modulus five,integer a = 10 mod 5
integer b equal six modulus four,integer b = 6 mod 4
integer b equal five modulus three,integer b = 5 mod 3
integer b equal five modulus two,integer b = 5 mod 2
integer b equal five modulus one,integer b = 5 mod 1
integer b equal fifteen modulus six,integer b = 15 mod 6
integer b equal thirty modulus eight,integer b = 30 mod 8
boolean a equal five less than six,boolean a = 5 < 6
boolean a equal five less than seven,boolean a = 5 < 7
boolean a equal five less than eight,boolean a = 5 < 8
boolean a equal five less than nine,boolean a = 5 < 9
boolean a equal five less than ten,boolean a = 5 < 10
boolean a equal five less than eleven,boolean a = 5 < 11
boolean b equal five less than or equal to six,boolean b = 5 <= 6
boolean b equal five less than or equal to seven,boolean b = 5 <= 7
boolean b equal five less than or equal to eight,boolean b = 5 <= 8
boolean b equal five less than or equal to nine,boolean b = 5 <= 9
boolean b equal five less than or equal to ten,boolean b = 5 <= 10
boolean b equal five less than or equal to eleven,boolean b = 5 <= 11
boolean a equal five greater than six,boolean a = 5 > 6
boolean a equal five greater than seven,boolean a = 5 > 7
boolean a equal five greater than eight,boolean a = 5 > 8
boolean a equal five greater than nine,boolean a = 5 > 9
boolean a equal five greater than ten,boolean a = 5 > 10
boolean a equal five greater than eleven,boolean a = 5 > 11
boolean b equal five greater than or equal to six,boolean b = 5 >= 6
boolean b equal five greater than or equal to seven,boolean b = 5 >= 7
boolean b equal five greater than or equal to eight,boolean b = 5 >= 8
boolean b equal five greater than or equal to nine,boolean b = 5 >= 9
boolean b equal five greater than or equal to ten,boolean b = 5 >= 10
boolean b equal five greater than or equal to eleven,boolean b = 5 >= 11
boolean a equal five not equal five,boolean a = 5 not= 5
boolean a equal five not equal six,boolean a = 5 not= 6
boolean a equal five not equal seven,boolean a = 5 not= 7
boolean a equal five not equal eight,boolean a = 5 not= 8
boolean a equal five not equal nine,boolean a = 5 not= 9
boolean a equal five not equal ten,boolean a = 5 not= 10
boolean a equal true and true,boolean a = true and true
boolean b equal true and true,boolean b = true and true
boolean c equal true and true,boolean c = true and true
boolean a equal true and false,boolean a = true and false
boolean b equal true and false,boolean b = true and false
boolean c equal true and false,boolean c = true and false
boolean a equal true or true,boolean a = true or true
boolean b equal true or true,boolean b = true or true
boolean c equal true or true,boolean c = true or true
boolean a equal true or false,boolean a = true or false
boolean b equal true or false,boolean b = true or false
boolean c equal true or false,boolean c = true or false
text combined equal a plus b,text combined = a + b
text com equal a plus c,text com = a + c
text co equal a plus d,text co = a + d
text a equal number concatenate with 5,text a = "number" + 5
text a equal number concatenate with 6,text a = "number" + 6
text a equal number concatenate with 7,text a = "number" + 7
repeat ten times,repeat 10 times
repeat two times,repeat 2 times
repeat four times,repeat 4 times
repeat three times,repeat 3 times
repeat six times,repeat 6 times
repeat it while a less than 15,repeat while a < 15
repeat it while a less than 16,repeat while a < 16
repeat it while b less than 17,repeat while b < 17
repeat it while b less than 18,repeat while b < 18
repeat it while b less than 19,repeat while b < 19
repeat it while b less than 20,repeat while b < 20
repeat it until a greater than or equal to 15,repeat until a >= 15
repeat it until a greater than or equal to 16,repeat until a >= 16
repeat it until a greater than or equal to 17,repeat until a >= 17
repeat it until a greater than or equal to 18,repeat until a >= 18
repeat it until a greater than or equal to 19,repeat until a >= 19
repeat it until a greater than or equal to 20,repeat until a >= 20
initiate number a with value 1.5,number a = 1.5
initiate number a with value 2.5,number a = 2.5
initiate number a with value 3.5,number a = 3.5
initiate number a with value 4.5,number a = 4.5
initiate number a with value 5.5,number a = 5.5
initiate number a with value 6.5,number a = 6.5
initiate number a with value 7.5,number a = 7.5
initiate number a with value 8.5,number a = 8.5
initiate number a with value 9.5,number a = 9.5
initiate number a with value 10.5,number a = 10.5
initiate text a with value,text a = ""
change number with value 1 to a string a,"string castedA = cast(string , 1)"
change number with value 2 to a string a,"string castedA = cast(string , 2)"
change number with value 3 to a string a,"string castedA = cast(string , 3)"
change number with value 4 to a string a,"string castedA = cast(string , 4)"
change number with value 5 to a string a,"string castedA = cast(string , 5)"
change number with value 6 to a string a,"string castedA = cast(string , 6)"
change number with value 7 to a string a,"string castedA = cast(string , 7)"
change number with value 8 to a string a,"string castedA = cast(string , 8)"
change number with value 9 to a string a,"string castedA = cast(string , 9)"
change number with value 10 to a string a,"string castedA = cast(string , 10)"
change number with value 11 to a string a,"string castedA = cast(string , 11)"
change number with value 12 to a string a,"string castedA = cast(string , 12)"
change number with value 13 to a string a,"string castedA = cast(string , 13)"
change number with value 14 to a string a,"string castedA = cast(string , 14)"
change number with value 15 to a string a,"string castedA = cast(string , 15)"
change number with value 16 to a string a,"string castedA = cast(string , 16)"
change number with value 17 to a string a,"string castedA = cast(string , 17)"
change number with value 18 to a string a,"string castedA = cast(string , 18)"
change number with value 19 to a string a,"string castedA = cast(string , 19)"
change number with value 20 to a string a,"string castedA = cast(string , 20)"
change number with value 21 to a string a,"string castedA = cast(string , 21)"
change number with value 22 to a string a,"string castedA = cast(string , 22)"
change number with value 23 to a string a,"string castedA = cast(string , 23)"
change number with value 24 to a string a,"string castedA = cast(string , 24)"
change number with value 25 to a string a,"string castedA = cast(string , 25)"
change number with value 26 to a string a,"string castedA = cast(string , 26)"
change number with value 27 to a string a,"string castedA = cast(string , 27)"
change number with value 28 to a string a,"string castedA = cast(string , 28)"
change number with value 29 to a string a,"string castedA = cast(string , 29)"
change number with value 30 to a string a,"string castedA = cast(string , 30)"
change number with value 31 to a string a,"string castedA = cast(string , 31)"
change number with value 32 to a string a,"string castedA = cast(string , 32)"
change number with value 33 to a string a,"string castedA = cast(string , 33)"
change number with value 34 to a string a,"string castedA = cast(string , 34)"
change number with value 35 to a string a,"string castedA = cast(string , 35)"
change number with value 36 to a string a,"string castedA = cast(string , 36)"
change number with value 37 to a string a,"string castedA = cast(string , 37)"
change number with value 38 to a string a,"string castedA = cast(string , 38)"
change number with value 39 to a string a,"string castedA = cast(string , 39)"
change number with value 40 to a string a,"string castedA = cast(string , 40)"
change number with value 41 to a string a,"string castedA = cast(string , 41)"
change number with value 42 to a string a,"string castedA = cast(string , 42)"
change number with value 43 to a string a,"string castedA = cast(string , 43)"
change number with value 44 to a string a,"string castedA = cast(string , 44)"
change number with value 45 to a string a,"string castedA = cast(string , 45)"
change number with value 46 to a string a,"string castedA = cast(string , 46)"
change number with value 47 to a string a,"string castedA = cast(string , 47)"
change number with value 48 to a string a,"string castedA = cast(string , 48)"
change number with value 49 to a string a,"string castedA = cast(string , 49)"
change number with value 50 to a string a,"string castedA = cast(string , 50)"
integer a equals 1 plus 1,integer a = 1+1
integer a equals 1 plus 2,integer a = 1+2
integer a equals 1 plus 3,integer a = 1+3
integer a equals 1 plus 4,integer a = 1+4
integer a equals 1 plus 5,integer a = 1+5
integer a equals 1 plus 6,integer a = 1+6
integer a equals 1 plus 7,integer a = 1+7
integer a equals 1 plus 8,integer a = 1+8
integer a equals 1 plus 9,integer a = 1+9
integer a equals 1 plus 10,integer a = 1+10
integer a equals 1 plus 11,integer a = 1+11
integer a equals 1 plus 12,integer a = 1+12
integer a equals 1 plus 13,integer a = 1+13
integer a equals 1 plus 14,integer a = 1+14
integer a equals 1 plus 15,integer a = 1+15
integer a equals 1 plus 16,integer a = 1+16
integer a equals 1 plus 17,integer a = 1+17
integer a equals 1 plus 18,integer a = 1+18
integer a equals 1 plus 19,integer a = 1+19
integer a equals 1 plus 20,integer a = 1+20
integer a equals 1 plus 21,integer a = 1+21
integer a equals 1 plus 22,integer a = 1+22
integer a equals 1 plus 23,integer a = 1+23
integer a equals 1 plus 24,integer a = 1+24
integer a equals 1 plus 25,integer a = 1+25
integer a equals 1 plus 26,integer a = 1+26
integer a equals 1 plus 27,integer a = 1+27
integer a equals 1 plus 28,integer a = 1+28
integer a equals 1 plus 29,integer a = 1+29
integer a equals 1 plus 30,integer a = 1+30
integer a equals 1 plus 31,integer a = 1+31
integer a equals 1 plus 32,integer a = 1+32
integer a equals 1 plus 33,integer a = 1+33
integer a equals 1 plus 34,integer a = 1+34
integer a equals 1 plus 35,integer a = 1+35
integer a equals 1 plus 36,integer a = 1+36
integer a equals 1 plus 37,integer a = 1+37
integer a equals 1 plus 38,integer a = 1+38
integer a equals 1 plus 39,integer a = 1+39
integer a equals 1 plus 40,integer a = 1+40
integer a equals 1 plus 41,integer a = 1+41
integer a equals 1 plus 42,integer a = 1+42
integer a equals 1 plus 43,integer a = 1+43
integer a equals 1 plus 44,integer a = 1+44
integer a equals 1 plus 45,integer a = 1+45
integer a equals 1 plus 46,integer a = 1+46
integer a equals 1 plus 47,integer a = 1+47
integer a equals 1 plus 48,integer a = 1+48
integer a equals 1 plus 49,integer a = 1+49
integer a equals 1 plus 50,integer a = 1+50
integer a equals 2 plus 2,integer a = 2+2
integer a equals 2 plus 3,integer a = 2+3
integer a equals 2 plus 4,integer a = 2+4
integer a equals 2 plus 5,integer a = 2+5
integer a equals 2 plus 6,integer a = 2+6
integer a equals 2 plus 7,integer a = 2+7
integer a equals 2 plus 8,integer a = 2+8
integer a equals 2 plus 9,integer a = 2+9
integer a equals 2 plus 10,integer a = 2+10
integer a equals 2 plus 11,integer a = 2+11
integer a equals 2 plus 12,integer a = 2+12
integer a equals 2 plus 13,integer a = 2+13
integer a equals 2 plus 14,integer a = 2+14
integer a equals 2 plus 15,integer a = 2+15
find the remaining when 10 devided by 2 and assign it to d,integer d = 10 mod 2
find the remaining when 11 devided by 2 and assign it to d,integer d = 11 mod 2
find the remaining when 12 devided by 2 and assign it to d,integer d = 12 mod 2
find the remaining when 13 devided by 2 and assign it to d,integer d = 13 mod 2
find the remaining when 14 devided by 2 and assign it to d,integer d = 14 mod 2
find the remaining when 15 devided by 2 and assign it to d,integer d = 15 mod 2
find the remaining when 16 devided by 2 and assign it to d,integer d = 16 mod 2
find the remaining when 17 devided by 2 and assign it to d,integer d = 17 mod 2
find the remaining when 18 devided by 2 and assign it to d,integer d = 18 mod 2
find the remaining when 19 devided by 2 and assign it to d,integer d = 19 mod 2
find the remaining when 20 devided by 2 and assign it to d,integer d = 20 mod 2
find the remaining when 10 devided by 3 and assign it to d,integer d = 10 mod 3
find the remaining when 11 devided by 3 and assign it to d,integer d = 11 mod 3
find the remaining when 12 devided by 3 and assign it to d,integer d = 12 mod 3
find the remaining when 13 devided by 3 and assign it to d,integer d = 13 mod 3
find the remaining when 14 devided by 3 and assign it to d,integer d = 14 mod 3
find the remaining when 15 devided by 3 and assign it to d,integer d = 15 mod 3
find the remaining when 16 devided by 3 and assign it to d,integer d = 16 mod 3
find the remaining when 17 devided by 3 and assign it to d,integer d = 17 mod 3
find the remaining when 18 devided by 3 and assign it to d,integer d = 18 mod 3
find the remaining when 19 devided by 3 and assign it to d,integer d = 19 mod 3
find the remaining when 20 devided by 3 and assign it to d,integer d = 20 mod 3
end,end
insert end,end
insert an else if condition,elseif
please insert an else if condition,elseif
insert a else if condition,elseif
please insert a else if condition,elseif
check whether else if x greater than y,elseif x>y
check whether else if y greater than x,elseif y>x
check whether else if a greater than b,elseif a>b
check whether else if b greater than a,elseif b>a
elseif x equals to one,elseif x=1
elseif x equals to two,elseif x=2
elseif x equals to three,elseif x=3
elseif x equals to four,elseif x=4
elseif x equals to five,elseif x=5
elseif x equals to six,elseif x=6
elseif x equals to seven,elseif x=7
elseif x equals to eight,elseif x=8
elseif x equals to nine,elseif x=9
elseif x equals to ten,elseif x=10
elseif x equals to eleven,elseif x=11
elseif x equals to twelve,elseif x=12
elseif x equals to thirteen,elseif x=13
elseif x equals to fourteen,elseif x=14
elseif x equals to fifteen,elseif x=15
elseif x equals to sixteen,elseif x=16
elseif x equals to seventeen,elseif x=17
elseif x equals to eighteen,elseif x=18
elseif x equals to nineteen,elseif x=19
elseif x equals to twenty,elseif x=20
elseif y equals to one,elseif y=1
elseif y equals to two,elseif y=2
elseif y equals to three,elseif y=3
elseif y equals to four,elseif y=4
elseif y equals to five,elseif y=5
elseif y equals to six,elseif y=6
elseif y equals to seven,elseif y=7
elseif y equals to eight,elseif y=8
elseif y equals to nine,elseif y=9
elseif y equals to ten,elseif y=10
elseif y equals to eleven,elseif y=11
elseif y equals to twelve,elseif y=12
elseif y equals to thirteen,elseif y=13
elseif y equals to fourteen,elseif y=14
elseif y equals to fifteen,elseif y=15
elseif y equals to sixteen,elseif y=16
elseif y equals to seventeen,elseif y=17
elseif y equals to eighteen,elseif y=18
elseif y equals to nineteen,elseif y=19
elseif y equals to twenty,elseif y=20
